aluminium,arsenic,cadmium,chloramine,chromium,is_safe
0.08,0.88,0.01,5.9,0.12,0
0.01,0.93,0.01,5.85,0.07,0
0.04,0.76,0.01,7.18,0.3,0
0.1,0.11,0.11,3.14,0.05,0
0.08,0.7,0.01,3.79,0.31,0
0.04,0.87,0.03,3.35,0.1,0
0,0.69,0.02,1.69,0.06,0
0.09,0.04,0.01,7.32,0.88,0
0.21,0.28,0.08,0.18,0.44,0
0.03,0.21,0.04,5.16,0.86,0
0.05,0.78,0.12,0.41,0.16,0
0.19,0.1,0.09,1.29,0.54,1
0.05,0.56,0.11,3.49,0.67,0
0.11,0.08,0.1,6.28,0.83,0
0.01,0.11,0.01,5.3,0.51,0
0.14,0.52,0.1,4.57,0.71,0
0.17,0.31,0.04,6.52,0.04,0
0.01,0.46,0.01,2.82,0.49,0
0.2,0.67,0.08,6.82,0.8,0
0.02,0.14,0.03,5.81,0.64,0
0.19,1,0.07,4.67,0.35,0
0.1,0.18,0.03,7.28,0.88,0
0.05,0.19,0.03,4.62,0.43,1
0.2,0.48,0.05,5.28,0.74,0
0.04,0.28,0.08,1.39,0.81,0
0.07,0.33,0.02,2.76,0.44,0
0.08,0.35,0.09,4.25,0.32,1
0.18,0.29,0.05,6.72,0.19,0
0.08,0.21,0.11,6.59,0.06,0
0,0.87,0.09,7.44,0.19,0
0.05,0.25,0.09,1.16,0.54,0
0.07,0.57,0.08,3.11,0.52,0
0.08,0.09,0.12,2.96,0.07,0
0.03,0.68,0.12,6.45,0.36,0
0.05,0.47,0.05,5.3,0.08,0
0.07,0.51,0.03,0.68,0.88,0
0.05,0.12,0.12,7.53,0.48,0
0.09,0.2,0.08,7.39,0.89,0
0.03,0.06,0.07,1.33,0.56,0
0.01,0.95,0.09,7.87,0.04,0
0.04,0.72,0.08,2.45,0.2,0
0.04,0.65,0.13,6.35,0.59,0
0.08,0.53,0.04,5.76,0.29,0
0.07,0.5,0.08,0.96,0.54,0
0.03,0.06,0.05,0.21,0.68,0
0.04,0.13,0.07,3.87,0.44,0
0.06,0.45,0.02,6.2,0.34,1
0.18,0.17,0.12,4.84,0.13,0
0.07,0.11,0.03,1.98,0.14,0
0.12,0.95,0.13,5.69,0.32,0
0.04,0.8,0.03,3.04,0.82,0
0.07,0.51,0.05,5.58,0.16,0
0.08,0.14,0.04,3.16,0.09,0
0.07,0.59,0.04,1.21,0.29,0
0.07,0.51,0.07,0.86,0.04,0
0.01,0.95,0.09,1.45,0.41,0
0.08,0.04,0.01,1.83,0.7,0
0.04,0.64,0.05,2.38,0.08,0
0.04,0.66,0.11,1.59,0.01,0
0.06,0.41,0.09,1.7,0.12,0
0.04,0.6,0.06,2.75,0.42,0
0.01,0.29,0.11,1.81,0.45,0
0.35,0.36,0.08,6.54,0.39,0
0.09,0.32,0.04,7.77,0.89,0
0.11,0.46,0.02,6.72,0.11,0
0.17,0.93,0.09,2.35,0.08,0
0.08,0.68,0.09,1.48,0.57,0
0.12,0.15,0.02,5.92,0.7,0
0.14,0.45,0.12,5.56,0.76,0
0.09,0.01,0.09,8.05,0.06,1
0.05,0.89,0.05,5.06,0.66,0
0.03,0.22,0.12,5.19,0.59,0
0.05,0.75,0.06,7.18,0.11,0
0,0.9,0.04,5.92,0.57,0
0.2,0.53,0.08,2.16,0.25,1
0.19,0.86,0.11,0.54,0.08,0
0.02,0.65,0.07,4.69,0.6,0
0.16,0.17,0.03,2.6,0.72,0
0.06,0.37,0.07,8.13,0.29,1
0.25,0.13,0.01,3.92,0.04,0
0.12,0.8,0.06,5.25,0.14,0
0.04,1.02,0.01,2.03,0.71,0
0.09,0.27,0.11,7.2,0.1,0
0.18,0.26,0.11,6.51,0.58,0
0.11,0.62,0.1,1.38,0.26,0
0.07,0.03,0.12,5.27,0.39,0
0.24,0.08,0.12,4.81,0.04,0
0.06,0.33,0.06,5.72,0.82,0
0.02,0.76,0.13,3.83,0.34,0
0.1,0.42,0.04,4.01,0.05,0
0.4,0.9,0.13,6.29,0.65,0
0.09,0.52,0.12,4.63,0.63,0
0.16,0.24,0.03,4.66,0.38,0
0.03,0.24,0.12,5.48,0.61,0
0.02,0.93,0.12,2.95,0.46,0
0.02,0.4,0.03,7.82,0.62,0
0.08,0.94,0.08,3.28,0.77,0
0.05,0.08,0.05,0.82,0.77,0
0.04,0.61,0.09,2.13,0.7,0
0.06,0.72,0.05,3.67,0.89,0
0.09,0.09,0.03,3.49,0.36,0
0.27,0.44,0.06,5.31,0.36,0
0.06,0.58,0.06,7.99,0.8,0
0.25,0.68,0.02,0.47,0.36,0
0.28,0.67,0.06,0.63,0.47,0
0.07,0.28,0.06,5.23,0.08,0
0.01,0.36,0.07,3.7,0.09,0
0.04,0.2,0.12,7.73,0.27,0
0.16,0.5,0.06,5.4,0.13,0
0.03,0.77,0.03,6.59,0.01,0
0.07,0.92,0.12,2.03,0.88,0
0.02,0.89,0.08,5.65,0.41,0
0.25,0.09,0.07,7.62,0.78,0
0.11,0.4,0.07,5.72,0.31,0
0.03,0.18,0.1,5.28,0.82,0
0.02,0.11,0.05,2.51,0.28,0
0.01,0.21,0.12,6.12,0.89,0
0.19,1.02,0.06,4.24,0.03,0
0.07,0.18,0.1,6.86,0.54,0
0.09,0.3,0.13,4.53,0.1,0
0.04,1.02,0.02,2.36,0.79,0
0.07,0.86,0.1,5.49,0.42,0
0.17,0.32,0.02,2.05,0.79,0
0.05,0.48,0.05,1.16,0.18,0
0.04,0.93,0.02,1.54,0.42,0
0.19,0.72,0.03,6.7,0.72,1
0.35,0.58,0.06,2.36,0.18,0
0.15,0.5,0.04,1.86,0.26,0
0.02,0.35,0.03,2.89,0.52,1
0.12,0.34,0.1,7.64,0.23,0
0.07,0.63,0.01,4.5,0.38,0
0.05,0.82,0.09,5.23,0.44,0
0.05,0.98,0.13,3.11,0.33,0
0.07,0.92,0.05,1.91,0.87,0
0.22,0.9,0.09,0.32,0.2,1
0.08,0.52,0.02,4.6,0.53,0
0.08,0.64,0.02,6.97,0.42,0
0.06,0.18,0.01,4.05,0.78,0
0.01,0.92,0.1,2.41,0.89,0
0.03,0.35,0.03,8.68,0.88,0
0.03,0.26,0.03,8.33,0.51,0
0.27,0.91,0,0.41,0.27,0
0.17,0.18,0.12,3.7,0.66,0
0.01,0.16,0.02,3.19,0.07,1
0.06,0.59,0.12,4.21,0.71,1
0.02,0.88,0.01,5.37,0.84,0
0,0.91,0.12,1.44,0.47,0
0.06,0.58,0.08,4.21,0.37,0
0.07,0.2,0.06,4.3,0.41,0
0.05,0.93,0.09,5.11,0.28,0
0.05,0.25,0.06,3.48,0.55,0
0.03,0.33,0.03,7.66,0.21,0
0.1,0.45,0.03,0.83,0.66,0
0,0.88,0.02,0.65,0.58,0
0.06,0.79,0.06,2.68,0.02,0
0.39,0.44,0.12,5.14,0.05,1
0.1,0.35,0.03,4.26,0.27,0
0.06,0.72,0.13,7.12,0.4,0
0.04,0.26,0.06,7.48,0.66,0
0.07,0.56,0.05,0.68,0.47,0
0.3,0.8,0.04,3.78,0.62,0
0.02,0.86,0.08,3.77,0.13,0
0.07,0.08,0.08,3.06,0.36,0
0.03,0.9,0.06,6.76,0.16,0
0.01,0.6,0.06,6.16,0.85,0
0.26,0.51,0.02,5.61,0.53,0
0.08,0.14,0.1,6.21,0.22,0
0.05,0.13,0.07,8.5,0.04,0
0.04,0.99,0.01,1.07,0.73,0
0.09,0.24,0.06,3.41,0.19,0
0.2,0.72,0.09,3.03,0.02,0
0.02,0.53,0.07,0.5,0.03,0
0.14,0.44,0.03,3.16,0.52,0
0.02,0.19,0.08,4.94,0.29,1
0.07,0.54,0.06,5.54,0.58,0
0.01,0.51,0.01,5.4,0.18,0
0.09,0.61,0.08,5.52,0.07,0
0.08,0.53,0.02,5.62,0.09,0
0.09,0.1,0.06,3.78,0.73,0
0.04,0.92,0.12,1.51,0.59,0
0.08,0.69,0.13,2.86,0.24,0
0.02,0.35,0.06,5.42,0.8,0
0.04,0.67,0.07,8.01,0.36,0
0.09,0.5,0.13,6.56,0.27,0
0.02,1.02,0.01,0.55,0.79,0
0.33,0.97,0.08,6.73,0.47,0
0.06,0.35,0.05,3.3,0.55,0
0.2,0.66,0.09,6.91,0.71,0
0.09,0.59,0.01,3.99,0.63,0
0.04,0.3,0.02,5.8,0.79,0
0.34,0.63,0.01,2.47,0.34,0
0.09,0.65,0.11,3.67,0.57,0
0.05,0,0.08,0.09,0.01,0
0.04,0.03,0.01,0.44,0.01,0
0.01,0.08,0.08,0.03,0.09,0
0.08,0.03,0.01,0.16,0.06,0
0.06,0.09,0.04,0.02,0.07,1
0.04,0.05,0.01,0.06,0.04,0
0.04,0.09,0.02,0.09,0.02,0
0.05,0.05,0.07,0.31,0.05,0
0.05,0.08,0.02,0.09,0.07,0
0,0,0.03,0.29,0.04,0
0.07,0.09,0.02,0.44,0.03,0
0.04,0.07,0.08,0.01,0.03,0
0.04,0.08,0.1,0.09,0.01,0
0.06,0.03,0.02,0.04,0.05,0
0.09,0.02,0.06,0.19,0.06,0
0.02,0.09,0.08,0.06,0.1,0
0.07,0.05,0.02,0.06,0.1,0
0.08,0.06,0.09,0.58,0.1,0
0.03,0,0.08,0.03,0.08,0
0.05,0.04,0.06,0.04,0.08,0
0.01,0.05,0.07,0.04,0.07,0
0.1,0.03,0.08,0.02,0.09,0
0.03,0.09,0.01,0.14,0.04,0
0.02,0.02,0.03,0.5,0.07,0
0.02,0.02,0.05,0,0.08,0
0.05,0.03,0.02,0.13,0.03,0
0,0.02,0.01,0.02,0.06,0
0,0.02,0.05,0.04,0.03,0
0.01,0,0.04,0.14,0.05,0
0.03,0.01,0.09,0.07,0.06,0
0.05,0.02,0.06,0.35,0.05,0
0.03,0.09,0.02,0.15,0.07,0
0.07,0.08,0.01,0.3,0.08,0
0.02,0.08,0.02,0.3,0.02,0
0.03,0.06,0.09,0.12,0.09,0
0.06,0.06,0.03,0.25,0.02,0
0.04,0.02,0.07,0.38,0.08,0
0.03,0.06,0.07,0.07,0.08,0
0.06,0.08,0.02,0.18,0.01,0
0.06,0.04,0.01,0.21,0.02,1
0.04,0.09,0.08,0.01,0.04,0
0.07,0.05,0.01,0.02,0.07,0
0.06,0,0,0.17,0.04,0
0,0.04,0.05,0.03,0,0
0.04,0,0.06,0.17,0.09,0
0.05,0.1,0.06,0.04,0,0
0.02,0.1,0.1,0.03,0.04,0
0.05,0.02,0.06,0.49,0.02,1
0.05,0.03,0.08,0.1,0.03,0
0.07,0.05,0.05,0.52,0.08,0
0.08,0.02,0.01,0.04,0.04,0
0.07,0.08,0.1,0.55,0.03,0
0.08,0.07,0.02,0.43,0.07,0
0.09,0.07,0.04,0.29,0.06,0
0.08,0.09,0.04,0.01,0.02,0
0.08,0.08,0.07,0.15,0.04,0
0.01,0.01,0.07,0.1,0.1,0
0.1,0.04,0.03,0.01,0.06,0
0.1,0.07,0.03,0.38,0.03,1
0.05,0.1,0.02,0.02,0.09,0
0.05,0.04,0.08,0.1,0.04,0
0.05,0.03,0.09,0.3,0.1,0
0.02,0.03,0.06,0.47,0.03,0
0.05,0.02,0.06,0.29,0.04,0
0.02,0.08,0.06,0.26,0.05,0
0.08,0.07,0.07,0.16,0.01,0
0.1,0.02,0.02,0.14,0.02,0
0.03,0.09,0.06,0.33,0.01,0
0.06,0.02,0.07,0.09,0.03,0
0.09,0.06,0.04,0.05,0.07,0
0.06,0.06,0.09,0.07,0,0
0.01,0.04,0.07,0.34,0.09,0
0.04,0.06,0.03,0.13,0.01,0
0,0.01,0.05,0.1,0.04,0
0.05,0.04,0.04,0.06,0,0
0.05,0.02,0.03,0.14,0.09,0
0.07,0.07,0.06,0.09,0,1
0.07,0.01,0.05,0.3,0.08,1
0.05,0.05,0.01,0.29,0.1,0
0.09,0.01,0.05,0,0.06,0
0.1,0.07,0.02,0.04,0.06,0
0.1,0.04,0.02,0.37,0.08,0
0.06,0.03,0.01,0.2,0.05,1
0,0.03,0.08,0.08,0.03,0
0.05,0.04,0.02,0.23,0.01,1
0.04,0.05,0.01,0.01,0.01,0
0.05,0.03,0.08,0.04,0.03,0
0.06,0.01,0.03,0.08,0.08,0
0.04,0.05,0.02,0.04,0.02,0
0.01,0.05,0.07,0.02,0.06,0
0.03,0,0,0,0.08,0
0.06,0.06,0.02,0.03,0.07,0
0.03,0.01,0.09,0.08,0.04,0
0.06,0.04,0.05,0.26,0.04,0
0.01,0.08,0.02,0.02,0,0
0.02,0.02,0.02,0.13,0.08,0
0,0.05,0.05,0.04,0.05,0
0,0.08,0.03,0.01,0.06,0
0.04,0.01,0,0.24,0.09,0
0.1,0.04,0.02,0.36,0.09,0
0.06,0.06,0.09,0.18,0.07,0
0.1,0.05,0.07,0.09,0.07,0
0.06,0.06,0.02,0.37,0.06,0
0.01,0.05,0.01,0.1,0.1,0
0.07,0.03,0.08,0.06,0.09,0
0.02,0.01,0.01,0.61,0.06,0
0.07,0.04,0,0.2,0.06,1
0.1,0.03,0.08,0.09,0.08,0
0.1,0.05,0.1,0.23,0.07,0
0.08,0.07,0.01,0.57,0.06,0
0.07,0.08,0.02,0.01,0.09,0
0.03,0.02,0.06,0.19,0.02,0
0.04,0.02,0.01,0.2,0.09,0
0.02,0.02,0.08,0.05,0.04,0
0.02,0.1,0.03,0.12,0.02,0
0.04,0.08,0.04,0.17,0.07,0
0.03,0.03,0.01,0.04,0.08,0
0.06,0.09,0.07,0.43,0.07,0
0.03,0.05,0.01,0.45,0,0
0.01,0.01,0.1,0.01,0.07,0
0.09,0.09,0.05,0.02,0.04,0
0.06,0.04,0.08,0.15,0.09,0
0.09,0.05,0.03,0.2,0.09,0
0.02,0.09,0.09,0.02,0.09,1
0.05,0.02,0.09,0.05,0.07,0
0.02,0.08,0.01,0.19,0.04,0
0.07,0.09,0.03,0.29,0.08,0
0.08,0.03,0.02,0.38,0.08,0
0.09,0.04,0,0.02,0.07,0
0,0.05,0.01,0.08,0.1,0
0.05,0.09,0.03,0.15,0.1,0
0.1,0.07,0.01,0.07,0.08,0
0.02,0.06,0,0.36,0.07,0
0.05,0.05,0,0.41,0,0
0.08,0.05,0.02,0.02,0.09,0
0.04,0.08,0.02,0.09,0.02,0
0.1,0.04,0.02,0.07,0.1,0
0.06,0.07,0.07,0.06,0.02,0
0.07,0.02,0.03,0.41,0.02,0
0.07,0.09,0.05,0.05,0.09,0
0.02,0.07,0.01,0.07,0.04,0
0.07,0.08,0.09,0.08,0.03,0
0.06,0.01,0.09,0.02,0.05,0
0.02,0.06,0.04,0.01,0.05,0
0.04,0.05,0.02,0.09,0.06,0
0.04,0.06,0.09,0.04,0.09,0
0.09,0,0.04,0,0.06,0
0,0,0.04,0.18,0.06,0
0.07,0.05,0.01,0.07,0.02,1
0.09,0.06,0.08,0.08,0.1,0
0.08,0.05,0.04,0.25,0.01,0
0.03,0.05,0.08,0.02,0.09,1
0.09,0.01,0.09,0.08,0.05,0
0.08,0.04,0.02,0.02,0.05,0
0.09,0.02,0.09,0.1,0.03,0
0.08,0.02,0,0.03,0.05,0
0.01,0.05,0.08,0.24,0.01,0
0.09,0.1,0.08,0.4,0.06,0
0.06,0.04,0.03,0.26,0.04,0
0.1,0.04,0.04,0.14,0.08,0
0.03,0.01,0.08,0.16,0.08,0
0.1,0.02,0.07,0.38,0.01,0
0.02,0.03,0.05,0.06,0.08,1
0.07,0.04,0.05,0.2,0.09,0
0.03,0.07,0.06,0.05,0.02,0
0.05,0.05,0.08,0.7,0.01,1
0.01,0.06,0.07,0.54,0.05,0
0.02,0.08,0.05,0.03,0.06,0
0.06,0.01,0.07,0.3,0.05,1
0.01,0.02,0.05,0.08,0.03,0
0.04,0.02,0,0.01,0.05,0
0.07,0,0.05,0.19,0.05,0
0.06,0.09,0.01,0.01,0.04,1
0.07,0.07,0.05,0.06,0.1,0
0.07,0,0.01,0.04,0.09,0
0.06,0.04,0.06,0.18,0.02,0
0.06,0,0.04,0.02,0.06,0
0.04,0.05,0.09,0.07,0.06,0
0.04,0.07,0.07,0.02,0.08,0
0.07,0.07,0.05,0.2,0.09,0
0,0.06,0.01,0.37,0.05,0
0.02,0.07,0.01,0.09,0.1,0
0.07,0.08,0.08,0.15,0.04,0
0.05,0.03,0.01,0,0.08,0
0.04,0.05,0.1,0.09,0,0
0.09,0.09,0.08,0.21,0.02,0
0.08,0,0.04,0.33,0.09,0
0.01,0.01,0.01,0.28,0.09,0
0.06,0.05,0.05,0.19,0.07,0
0.01,0.03,0.09,0.05,0.05,0
0.04,0.09,0.01,0.07,0,0
0.09,0.03,0.04,0.05,0.06,0
0.05,0.01,0,0,0,0
0.09,0.09,0.04,0.07,0.08,0
0.03,0.1,0.04,0.07,0.03,0
0.08,0.08,0.01,0.05,0.04,0
0,0.02,0.08,0.09,0.1,0
0.02,0.03,0.09,0.05,0.06,0
0.04,0.03,0.07,0.06,0.06,0
0,0.04,0.04,0.38,0.08,0
0.09,0.07,0.08,0.21,0.09,0
0.05,0.02,0.1,0.08,0.07,0
0.06,0.04,0.09,0.05,0.02,0
0.1,0.02,0.04,0.06,0.03,0
0.03,0.03,0.05,0.24,0.1,0
0.05,0.02,0.03,0.48,0.08,0
0.09,0.08,0.06,0.05,0.05,0
0.03,0.04,0.01,0.17,0.01,0
0.03,0.01,0.08,0.41,0.03,0
0.07,0.09,0.02,0.27,0.01,0
0.05,0.09,0,0.03,0.1,0
0.01,0.06,0.01,0.2,0.04,1
0.01,0.04,0.02,0.56,0.03,0
0.09,0.03,0.08,0.1,0.09,0
0.07,0.05,0.06,0.34,0.09,0
0.06,0,0.04,0.38,0.03,0
0.07,0.06,0.01,0.34,0.07,0
0.07,0.07,0.08,0.12,0.02,0
0.09,0.05,0.08,0.26,0.07,0
0.05,0.02,0.04,0.06,0.02,0
0.05,0.02,0.1,0.69,0.06,0
0.09,0.01,0.06,0.03,0.05,1
0.05,0.07,0,0.35,0.02,0
0.06,0.08,0.07,0.05,0.02,0
0.01,0.02,0.09,0.1,0.02,0
0.07,0.02,0.06,0.25,0.08,0
0.1,0.09,0,0.03,0.04,0
0.08,0.07,0.04,0.05,0.07,0
0.1,0.04,0.02,0.05,0.01,0
0,0.08,0.06,0.1,0.01,0
0.06,0.08,0,0.24,0.05,0
0.06,0.02,0.04,0.49,0.08,0
0.09,0.04,0.09,0.01,0.03,0
0.07,0.01,0.1,0.47,0.07,0
0.03,0.04,0.08,0.02,0.02,0
0.06,0.01,0.02,0.03,0.06,0
0.05,0.02,0.09,0.52,0.08,1
0.02,0.07,0.08,0.12,0.05,0
0.08,0.05,0.01,0.06,0.04,0
0.05,0.03,0.07,0.37,0.06,0
0.09,0.06,0.06,0.08,0.08,0
0.04,0,0.08,0.18,0.03,0
0.04,0.05,0.08,0,0.04,0
0.03,0.09,0,0.23,0.04,1
0.07,0.06,0.09,0.41,0.07,0
0.08,0.06,0.02,0.22,0.06,0
0.07,0.02,0.04,0.03,0.06,0
0.07,0.07,0.07,0.01,0.02,0
0.05,0.08,0,0,0.04,0
0.07,0.04,0.02,0.55,0.02,0
0.01,0.06,0.06,0.1,0.08,0
0.05,0.07,0.1,0.09,0,0
0.05,0.04,0.03,0.03,0.02,0
0,0.05,0.07,0.13,0.02,0
0.03,0.04,0.06,0.31,0.04,0
0.1,0.07,0.04,0.17,0.02,1
0,0.03,0.06,0.18,0.04,0
0.09,0.02,0.01,0.02,0.03,0
0.08,0.04,0.07,0.2,0.08,0
0.06,0.1,0.05,0.42,0.03,0
0.09,0.02,0.01,0.56,0.07,0
0.09,0.06,0.06,0.41,0.01,0
0.02,0.02,0.09,0.47,0.03,0
0.1,0.01,0.07,0.01,0.02,0
0.09,0.08,0.04,0.67,0.02,0
0.08,0.08,0.07,0.18,0.06,0
0.03,0.09,0.06,0.51,0.01,0
0.03,0.04,0.04,0.11,0.06,0
0.06,0,0.06,0.03,0.01,0
0.09,0.01,0.09,0.1,0.05,0
0.1,0.03,0.07,0.08,0.1,0
0.06,0.05,0.06,0,0.06,0
0.05,0.06,0.04,0.02,0.07,0
0.05,0.02,0.06,0.03,0.02,0
0.06,0.04,0.06,0.3,0.07,0
0.05,0.02,0.08,0.01,0.09,0
0.09,0.03,0.05,0.01,0.05,0
0.08,0.06,0.05,0.18,0.08,0
0.09,0.03,0.01,0.03,0.06,0
0.01,0.03,0.1,0.26,0.05,0
0.01,0,0.05,0.05,0.05,0
0.08,0.07,0.05,0.1,0.06,0
0.08,0.03,0.04,0,0.09,0
0.1,0.02,0.09,0.09,0.07,0
0.02,0.05,0.09,0.1,0,0
0,0.01,0.03,0.06,0.05,0
0.09,0.06,0.09,0.16,0.02,0
0.03,0.03,0.03,0.07,0.01,0
0.09,0.05,0.06,0.06,0.07,0
0.08,0.05,0.03,0.05,0.04,0
0.03,0.09,0.09,0.39,0.01,0
0.03,0.07,0.04,0.11,0,0
0.03,0.01,0.05,0.26,0,0
0.09,0.08,0.02,0.03,0.06,0
0.07,0.04,0.05,0.06,0.05,0
0.05,0.08,0.03,0.11,0.03,0
0.09,0.09,0.05,0.41,0.06,0
0.06,0.01,0.04,0.49,0.03,0
0.07,0.04,0.02,0.09,0.08,0
0.06,0.08,0.1,0.39,0.01,0
0.07,0.09,0.04,0.49,0.09,0
0.04,0.01,0.01,0.3,0.03,0
0.08,0.08,0.06,0.02,0.04,0
0,0.05,0.09,0.2,0.06,0
0.05,0.1,0.02,0.17,0,0
0.03,0.03,0.06,0.25,0.09,1
0.02,0.08,0.09,0.02,0.05,0
0,0.05,0.06,0.06,0,0
0.08,0.09,0.06,0.2,0.02,0
0.01,0.08,0.09,0.64,0.02,0
0.07,0.08,0.05,0.21,0.07,0
0.05,0.05,0.1,0.09,0.06,0
0,0.02,0.04,0.03,0.04,0
0.06,0.04,0.09,0.14,0.07,0
0.07,0.07,0.09,0.64,0,0
0,0.01,0.06,0.29,0.04,0
0.08,0.08,0,0.32,0.08,1
0.06,0.05,0.08,0.17,0.01,0
0.01,0.07,0,0.43,0.02,0
0.05,0.05,0.04,0.03,0.1,0
0.03,0.01,0.04,0.35,0.08,0
0.04,0.06,0,0.37,0.09,0
0.02,0.09,0.07,0.08,0.06,0
0.03,0.08,0.06,0.33,0.04,0
0.06,0,0.06,0.17,0.08,0
0.03,0.03,0.04,0.11,0.1,0
0.08,0.06,0.03,0.05,0.09,0
0.07,0.08,0.02,0.14,0.04,0
0.04,0.09,0.1,0.05,0.01,0
0,0.04,0.04,0.28,0.05,0
0.08,0.1,0.01,0.03,0.07,0
0.02,0.1,0.03,0.11,0.05,0
0.02,0.07,0.02,0.12,0.05,0
0.03,0.08,0.06,0.05,0.09,0
0.02,0.01,0.02,0.55,0.02,1
0.07,0.04,0.01,0.09,0.07,0
0.1,0.1,0.08,0.03,0.06,0
0.02,0.03,0.09,0,0,0
0.05,0.03,0.04,0.06,0.02,0
0.05,0.01,0,0.5,0.01,0
0,0.05,0.02,0.18,0.01,0
0.08,0.05,0.08,0,0.05,0
0.04,0.02,0.03,0.08,0.04,1
0.02,0.01,0.05,0.08,0.04,0
0.09,0.06,0.1,0.09,0.04,0
0.05,0.01,0.05,0.09,0.03,0
0.06,0.01,0.07,0.11,0.04,0
0.04,0.06,0.03,0.59,0.06,0
0.1,0.06,0.08,0.11,0,0
0.09,0.02,0.06,0.05,0.02,1
0.09,0.09,0.1,0.31,0.08,0
0.01,0.09,0.01,0.46,0.04,0
0.06,0.01,0.08,0.19,0.09,0
0.04,0,0.02,0.34,0.03,0
0.05,0.09,0.1,0.15,0.03,0
0.07,0.09,0.06,0.09,0.07,0
0.05,0.07,0.06,0.15,0.08,0
0.06,0.1,0.09,0.09,0.02,0
0.03,0.04,0.01,0.12,0.09,0
0.03,0.04,0.09,0.06,0.07,0
0.05,0,0.05,0.64,0.1,0
0.02,0.04,0.04,0.15,0.02,0
0.1,0.08,0.03,0.1,0.04,0
0.08,0.09,0.09,0.16,0.07,0
0.08,0.03,0.04,0.02,0.03,0
0.04,0.03,0.08,0.01,0.01,1
0.09,0.06,0.07,0.08,0.09,0
0.02,0.08,0.06,0.55,0.1,0
0.01,0.06,0.09,0.08,0.08,0
0.06,0.07,0,0.35,0.03,0
0.1,0.1,0.06,0.1,0.02,0
0.09,0.02,0.03,0.03,0.08,0
0.02,0.07,0.03,0.33,0.04,0
0.06,0.02,0.09,0.1,0.01,0
0.1,0.08,0.04,0.3,0.03,0
0.06,0.06,0.04,0.02,0.04,0
0.03,0.05,0.09,0.31,0.01,0
0.05,0.08,0,0.14,0.06,0
0.05,0.06,0.09,0.2,0.01,1
0.05,0.01,0.09,0.03,0.08,0
0.04,0.07,0.02,0.32,0.01,0
0.07,0,0.1,0.09,0.01,0
0.05,0.03,0.01,0.05,0.01,0
0.02,0.1,0.06,0.23,0.05,0
0.01,0.1,0.06,0.19,0.1,0
0.01,0.09,0.07,0.25,0.05,0
0.09,0.01,0.02,0.23,0.06,0
0.02,0.07,0.05,0.01,0.04,0
0.05,0.02,0.08,0.4,0.08,0
0.05,0.1,0.09,0.09,0.07,0
0.09,0.07,0,0.03,0.07,0
0.09,0.09,0.04,0.48,0.06,0
0.08,0.09,0.09,0.31,0.05,0
0.09,0.06,0.01,0.03,0.05,0
0.06,0.03,0.07,0,0.01,0
0.05,0.04,0.04,0.06,0.06,0
0.02,0.01,0.05,0.29,0.03,0
0.08,0.03,0.06,0.04,0.03,1
0.01,0.01,0.04,0,0.02,0
0.07,0,0.09,0.46,0.04,0
0.04,0.01,0.06,0.29,0.03,0
0.05,0.09,0.08,0.08,0.01,0
0.01,0.04,0.04,0.09,0.07,0
0.07,0.01,0.07,0.35,0.07,0
0.03,0.1,0.05,0.05,0.03,0
0,0.04,0.05,0.13,0.04,0
0.03,0.03,0.04,0.1,0.04,0
0.03,0.01,0.06,0.11,0.02,0
0.01,0.06,0.02,0.07,0.05,0
0.06,0.04,0.02,0.44,0.04,0
0.03,0.01,0,0.07,0.09,0
0.01,0.07,0,0.36,0.08,0
0.09,0.01,0.07,0.16,0.05,0
0.04,0.03,0.05,0.07,0.05,0
0.01,0.05,0.02,0.08,0.04,0
0.04,0.1,0.06,0.59,0.02,0
0.08,0.07,0.07,0.02,0.07,0
0.03,0.08,0.08,0.17,0.1,0
0.04,0.02,0.09,0.32,0.03,0
0.04,0.06,0.02,0.63,0.09,0
0.04,0.02,0.03,0.08,0.01,1
0.03,0.09,0.08,0.3,0.05,0
0.06,0.09,0.07,0.06,0.06,0
0.02,0.08,0.02,0,0.1,0
0.03,0.04,0.06,0.12,0,1
0.09,0.06,0.07,0.04,0.05,0
0.03,0.05,0.05,0.56,0.03,0
0.03,0.06,0.02,0.01,0.01,0
0.01,0.04,0.02,0.01,0.09,0
0.09,0.09,0.07,0.56,0,1
0.01,0.1,0.08,0.24,0.06,0
0.01,0.04,0.09,0.25,0.08,0
0.04,0.05,0.05,0.46,0.09,1
0.09,0.07,0.08,0.14,0.07,0
0.02,0.07,0.03,0.42,0.03,0
0.07,0.1,0.07,0.2,0.07,0
0.01,0.04,0.04,0.32,0.1,1
0.04,0.02,0.01,0.17,0.09,0
0.07,0.01,0.07,0.07,0.06,0
0.06,0.09,0,0.03,0.06,0
0.08,0.05,0.01,0.28,0.01,0
0.03,0.03,0.05,0.08,0.04,0
0.06,0.07,0.04,0.32,0.03,0
0.08,0.06,0.09,0.01,0.03,0
0.07,0.03,0.04,0.04,0.06,1
0.08,0.04,0.01,0.46,0.09,0
0.08,0.07,0.07,0.02,0.01,0
0.08,0.01,0.06,0.23,0.07,0
0.04,0.02,0.09,0.03,0.07,0
0.04,0.1,0,0.03,0.09,0
0.07,0.02,0.01,0.34,0.08,0
0.03,0.02,0.04,0.11,0.05,0
0.06,0.07,0,0.09,0.06,0
